Date,HIBOR
31/7/2019,0.0192
30/7/2019,0.0198
29/7/2019,0.0198
26/7/2019,0.0198
25/7/2019,0.0201
24/7/2019,0.0207
23/7/2019,0.0205
22/7/2019,0.0206
19/7/2019,0.0192
18/7/2019,0.019
17/7/2019,0.0184
16/7/2019,0.0194
15/7/2019,0.019
12/7/2019,0.0222
11/7/2019,0.0237
10/7/2019,0.0248
9/7/2019,0.0268
8/7/2019,0.0275
5/7/2019,0.0298
4/7/2019,0.03
3/7/2019,0.0273
2/7/2019,0.025
28/6/2019,0.0255
27/6/2019,0.0255
26/6/2019,0.0255
25/6/2019,0.0255
24/6/2019,0.0253
21/6/2019,0.025
20/6/2019,0.025
19/6/2019,0.0245
18/6/2019,0.025
17/6/2019,0.0245
14/6/2019,0.0245
13/6/2019,0.0268
12/6/2019,0.0236
11/6/2019,0.0215
10/6/2019,0.0206
6/6/2019,0.0206
5/6/2019,0.0206
4/6/2019,0.0204
3/6/2019,0.0203
31/5/2019,0.0198
30/5/2019,0.0196
29/5/2019,0.0192
28/5/2019,0.0191
27/5/2019,0.0189
24/5/2019,0.0184
23/5/2019,0.0169
22/5/2019,0.0169
21/5/2019,0.017
20/5/2019,0.0168
17/5/2019,0.0168
16/5/2019,0.0174
15/5/2019,0.0175
14/5/2019,0.0175
10/5/2019,0.0175
9/5/2019,0.0175
8/5/2019,0.0175
7/5/2019,0.0182
6/5/2019,0.0196
3/5/2019,0.0198
2/5/2019,0.0207
